i,j,vx,vy,tipo_nodo
45,0,0.000000,0.000000,Pared
45,1,0.277459,0.000000,Fluido Libre
45,2,0.456909,0.000000,Fluido Libre
45,3,0.593421,0.000000,Fluido Libre
45,4,0.645682,0.000000,Fluido Libre
45,5,0.577952,0.000000,Fluido Libre
45,6,0.367065,0.000000,Fluido Libre
45,7,0.000000,0.000000,Pared
46,0,0.000000,0.000000,Pared
46,1,0.335182,0.000000,Fluido Libre
46,2,0.547260,0.000000,Fluido Libre
46,3,0.671121,0.000000,Fluido Libre
46,4,0.699425,0.000000,Fluido Libre
46,5,0.610193,0.000000,Fluido Libre
46,6,0.382082,0.000000,Fluido Libre
46,7,0.000000,0.000000,Pared
47,0,0.000000,0.000000,Pared
47,1,0.371822,0.000000,Fluido Libre
47,2,0.606861,0.000000,Fluido Libre
47,3,0.730310,0.000000,Fluido Libre
47,4,0.745671,0.000000,Fluido Libre
47,5,0.640352,0.000000,Fluido Libre
47,6,0.396741,0.000000,Fluido Libre
47,7,0.000000,0.000000,Pared
48,0,0.000000,0.000000,Pared
48,1,0.396678,0.000000,Fluido Libre
48,2,0.648888,0.000000,Fluido Libre
48,3,0.775820,0.000000,Fluido Libre
48,4,0.784208,0.000000,Fluido Libre
48,5,0.666984,0.000000,Fluido Libre
48,6,0.410087,0.000000,Fluido Libre
48,7,0.000000,0.000000,Pared
49,0,0.000000,0.000000,Pared
49,1,0.414458,0.000000,Fluido Libre
49,2,0.679887,0.000000,Fluido Libre
49,3,0.811281,0.000000,Fluido Libre
49,4,0.815893,0.000000,Fluido Libre
49,5,0.689771,0.000000,Fluido Libre
49,6,0.421748,0.000000,Fluido Libre
49,7,0.000000,0.000000,Pared
50,0,0.000000,0.000000,Pared
50,1,0.427695,0.000000,Fluido Libre
50,2,0.703481,0.000000,Fluido Libre
50,3,0.839257,0.000000,Fluido Libre
50,4,0.841807,0.000000,Fluido Libre
50,5,0.708923,0.000000,Fluido Libre
50,6,0.431692,0.000000,Fluido Libre
50,7,0.000000,0.000000,Pared
51,0,0.000000,0.000000,Pared
51,1,0.437839,0.000000,Fluido Libre
51,2,0.721842,0.000000,Fluido Libre
51,3,0.861555,0.000000,Fluido Libre
51,4,0.862972,0.000000,Fluido Libre
51,5,0.724857,0.000000,Fluido Libre
51,6,0.440045,0.000000,Fluido Libre
51,7,0.000000,0.000000,Pared
52,0,0.000000,0.000000,Pared
52,1,0.445777,0.000000,Fluido Libre
52,2,0.736362,0.000000,Fluido Libre
52,3,0.879474,0.000000,Fluido Libre
52,4,0.880264,0.000000,Fluido Libre
52,5,0.738040,0.000000,Fluido Libre
52,6,0.447002,0.000000,Fluido Libre
52,7,0.000000,0.000000,Pared
53,0,0.000000,0.000000,Pared
53,1,0.452082,0.000000,Fluido Libre
53,2,0.747977,0.000000,Fluido Libre
53,3,0.893964,0.000000,Fluido Libre
53,4,0.894407,0.000000,Fluido Libre
53,5,0.748914,0.000000,Fluido Libre
53,6,0.452765,0.000000,Fluido Libre
53,7,0.000000,0.000000,Pared
54,0,0.000000,0.000000,Pared
54,1,0.457143,0.000000,Fluido Libre
54,2,0.757346,0.000000,Fluido Libre
54,3,0.905741,0.000000,Fluido Libre
54,4,0.905990,0.000000,Fluido Libre
54,5,0.757872,0.000000,Fluido Libre
54,6,0.457525,0.000000,Fluido Libre
54,7,0.000000,0.000000,Pared
55,0,0.000000,0.000000,Pared
55,1,0.461238,0.000000,Fluido Libre
55,2,0.764951,0.000000,Fluido Libre
55,3,0.915350,0.000000,Fluido Libre
55,4,0.915489,0.000000,Fluido Libre
55,5,0.765247,0.000000,Fluido Libre
